2014-2015절기,1.7,2.3,2.4,2.9,3.1,3.0,2.9,2.9,2.7,3.0,3.7,4.0,3.1,5.1,7.1,7.2,8.9,,8.3,10.0,14.0,18.4,22.6,29.5,41.6,45.5,28.6,26.7,29.3,35.6,31.1,31.7,23.6,18.5,14.9,11.6,6.9,6.6,6.2,5.2,5.8,5.1,4.4,3.5,3.4,3.2,4.5,4.8,4.6,4.4,4.4,4.3,4.5,
2015-2016절기,5.2,4.7,4.6,3.5,4.0,3.8,4.0,3.9,3.8,4.5,4.4,5.1,5.4,7.0,7.4,7.6,9.0,,10.6,12.1,13.5,20.7,27.2,41.3,53.8,46.1,43.0,32.1,28.8,30.1,30.5,32.0,28.3,21.1,15.4,11.8,7.7,6.3,5.9,5.4,5.3,4.5,5.6,5.1,4.8,4.3,5.3,4.7,4.7,5.4,4.2,4.5,4.4,
2016-2017절기,3.8,4.6,3.9,3.9,4.2,3.7,3.7,4.0,4.8,4.2,4.5,5.9,7.3,13.3,34.8,61.8,86.2,63.5,39.4,23.9,17.0,12.5,9.9,9.0,7.1,6.7,6.1,7.0,9.3,13.2,13.7,16.7,15.8,14.5,13.3,9.5,6.8,7.6,6.7,4.9,5.1,5.6,5.7,5.3,5.8,6.2,6.3,4.3,4.5,4.4,3.8,5.2,4.8,
2017-2018절기,4.9,5.1,5.1,4.7,3.1,3.8,4.2,4.1,5.2,5.3,6.3,7.7,11.4,19.0,30.6,53.6,71.8,,72.1,69.0,59.6,43.6,35.3,31.7,30.7,18.8,15.1,11.7,9.8,8.0,7.2,6.2,6.8,5.8,7.6,6.2,6.1,6.0,5.6,5.6,5.1,4.6,4.3,4.1,4.5,4.2,5.2,4.5,4.5,2.7,3.2,4.0,3.7,
2018-2019절기,4.0,4.3,4.4,3.9,3.5,3.7,3.8,4.9,5.7,7.8,10.1,13.2,19.2,34.0,48.7,71.9,73.3,,53.1,33.6,23.0,15.3,11.3,10.2,8.0,8.6,8.3,9.1,12.1,20.3,27.2,32.2,42.1,44.2,37.3,23.9,15.1,11.3,7.0,5.5,5.1,4.7,4.4,4.1,4.7,4.1,4.4,4.3,4.0,3.3,2.9,3.3,3.5,
2019-2020절기,3.4,3.6,3.7,3.8,3.9,4.2,4.6,4.5,5.8,7.0,8.2,9.7,12.7,19.5,28.5,37.8,49.8,,49.1,47.8,42.4,40.9,28.0,16.4,11.6,8.5,6.3,3.9,2.9,3.2,2.8,2.5,2.7,2.3,2.4,1.7,2.1,2.3,2.2,2.4,2.4,2.0,2.0,1.7,1.8,1.9,1.8,2.3,1.8,2.1,1.8,2.1,2.0,
2020-2021절기,1.7,1.4,1.5,1.3,1.4,1.2,1.2,1.7,1.9,3.1,3.3,3.2,2.6,2.8,2.8,2.8,2.5,,2.4,2.4,2.6,2.3,1.9,1.9,1.9,2.0,1.2,1.9,2.2,2.0,2.2,2.5,2.3,2.3,2.0,1.8,2.1,2.3,1.7,1.8,1.9,1.3,1.2,1.9,1.4,1.7,1.9,1.7,1.2,1.6,1.2,1.1,0.9,
2021-2022절기,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.6,2.0,3.3,4.0,3.6,3.5,2.4,2.7,1.9,2.1,,2.1,1.8,1.7,2.3,2.1,2.1,2.6,3.7,3.9,3.6,3.8,4.8,4.5,3.9,3.2,3.1,2.8,1.9,2.0,1.9,1.9,2.1,1.8,1.8,2.1,2.3,2.6,2.9,3.4,3.5,3.6,3.3,3.7,4.2,4.3,
2022-2023절기,4.7,5.1,4.7,4.9,7.1,7.0,6.2,7.6,9.3,11.2,13.2,13.9,15.0,17.3,30.3,41.9,55.4,60.7,52.5,40.2,28.3,25.6,17.0,15.2,15.0,11.6,11.9,11.7,11.7,13.2,14.5,15.2,18.5,19.9,23.0,23.7,23.4,25.7,25.7,21.5,18.1,15.7,15.0,16.1,16.3,16.9,17.3,15.0,14.1,12.5,12.0,10.6,10.0,
2023-2024절기,11.3,13.1,17.3,20.8,14.6,15.5,18.8,32.6,39.0,32.1,37.4,45.8,48.6,61.3,54.1,43.3,49.9,,52.2,44.8,36.9,30.3,27.2,27.3,24.3,17.9,14.8,12.8,15.1,13.8,14.0,13.8,12.2,11.0,9.9,8.5,7.9,7.7,7.5,7.3,6.9,6.3,6.1,6.4,6.5,7.0,6.8,7.6,8.9,10.2,10.2,9.9,7.8,
2024-2025절기,6.1,5.1,6.0,4.6,3.8,3.9,3.9,3.9,3.9,4.0,4.6,4.8,5.7,7.3,13.6,31.3,73.9,,99.8,86.1,57.7,36.5,30.4,13.9,11.6,9.5,9.1,8.0,10.8,13.2,16.3,16.9,21.6,20.8,16.1,13.1,11.6,10.1,7.3,6.7,6.7,5.2,5.1,4.2,4.5,5.0,4.8,4.7,5.6,4.9,5.8,6.0,집계 중,
