연도,주차,연령대,입원환자 수
2021,36,65세이상,1
2021,37,65세이상,2
2021,38,65세이상,1
2021,39,65세이상,2
2021,40,65세이상,3
2021,41,65세이상,6
2021,42,65세이상,4
2021,43,65세이상,0
2021,44,65세이상,2
2021,45,65세이상,4
2021,46,65세이상,3
2021,47,65세이상,2
2021,48,65세이상,5
2021,49,65세이상,5
2021,50,65세이상,3
2021,51,65세이상,2
2021,52,65세이상,1
2021,53,65세이상,1
2022,1,65세이상,1
2022,2,65세이상,5
2022,3,65세이상,3
2022,4,65세이상,2
2022,5,65세이상,2
2022,6,65세이상,3
2022,7,65세이상,0
2022,8,65세이상,4
2022,9,65세이상,2
2022,10,65세이상,1
2022,11,65세이상,0
2022,12,65세이상,4
2022,13,65세이상,2
2022,14,65세이상,4
2022,15,65세이상,3
2022,16,65세이상,3
2022,17,65세이상,0
2022,18,65세이상,1
2022,19,65세이상,2
2022,20,65세이상,2
2022,21,65세이상,2
2022,22,65세이상,1
2022,23,65세이상,0
2022,24,65세이상,0
2022,25,65세이상,1
2022,26,65세이상,1
2022,27,65세이상,1
2022,28,65세이상,0
2022,29,65세이상,0
2022,30,65세이상,5
2022,31,65세이상,2
2022,32,65세이상,5
2022,33,65세이상,11
2022,34,65세이상,5
2022,35,65세이상,4
2021,36,50-64세,0
2021,37,50-64세,0
2021,38,50-64세,3
2021,39,50-64세,0
2021,40,50-64세,0
2021,41,50-64세,2
2021,42,50-64세,1
2021,43,50-64세,1
2021,44,50-64세,3
2021,45,50-64세,0
2021,46,50-64세,1
2021,47,50-64세,0
2021,48,50-64세,2
2021,49,50-64세,0
2021,50,50-64세,1
2021,51,50-64세,4
2021,52,50-64세,0
2021,53,50-64세,0
2022,1,50-64세,1
2022,2,50-64세,3
2022,3,50-64세,0
2022,4,50-64세,0
2022,5,50-64세,0
2022,6,50-64세,0
2022,7,50-64세,1
2022,8,50-64세,2
2022,9,50-64세,0
2022,10,50-64세,3
2022,11,50-64세,0
2022,12,50-64세,0
2022,13,50-64세,1
2022,14,50-64세,1
2022,15,50-64세,0
2022,16,50-64세,0
2022,17,50-64세,0
2022,18,50-64세,2
2022,19,50-64세,0
2022,20,50-64세,0
2022,21,50-64세,1
2022,22,50-64세,0
2022,23,50-64세,0
2022,24,50-64세,0
2022,25,50-64세,0
2022,26,50-64세,0
2022,27,50-64세,0
2022,28,50-64세,0
2022,29,50-64세,0
2022,30,50-64세,1
2022,31,50-64세,0
2022,32,50-64세,0
2022,33,50-64세,6
2022,34,50-64세,0
2022,35,50-64세,1
2021,36,19-49세,0
2021,37,19-49세,2
2021,38,19-49세,0
2021,39,19-49세,0
2021,40,19-49세,0
2021,41,19-49세,1
2021,42,19-49세,0
2021,43,19-49세,1
2021,44,19-49세,1
2021,45,19-49세,1
2021,46,19-49세,0
2021,47,19-49세,0
2021,48,19-49세,1
2021,49,19-49세,1
2021,50,19-49세,0
2021,51,19-49세,0
2021,52,19-49세,0
2021,53,19-49세,0
2022,1,19-49세,0
2022,2,19-49세,0
2022,3,19-49세,1
2022,4,19-49세,1
2022,5,19-49세,2
2022,6,19-49세,0
2022,7,19-49세,0
2022,8,19-49세,0
2022,9,19-49세,0
2022,10,19-49세,0
2022,11,19-49세,0
2022,12,19-49세,0
2022,13,19-49세,0
2022,14,19-49세,0
2022,15,19-49세,0
2022,16,19-49세,0
2022,17,19-49세,0
2022,18,19-49세,0
2022,19,19-49세,0
2022,20,19-49세,0
2022,21,19-49세,1
2022,22,19-49세,0
2022,23,19-49세,0
2022,24,19-49세,1
2022,25,19-49세,0
2022,26,19-49세,1
2022,27,19-49세,1
2022,28,19-49세,3
2022,29,19-49세,7
2022,30,19-49세,7
2022,31,19-49세,6
2022,32,19-49세,2
2022,33,19-49세,2
2022,34,19-49세,2
2022,35,19-49세,1
2021,36,13-18세,0
2021,37,13-18세,0
2021,38,13-18세,0
2021,39,13-18세,0
2021,40,13-18세,0
2021,41,13-18세,0
2021,42,13-18세,0
2021,43,13-18세,0
2021,44,13-18세,0
2021,45,13-18세,0
2021,46,13-18세,0
2021,47,13-18세,0
2021,48,13-18세,1
2021,49,13-18세,0
2021,50,13-18세,0
2021,51,13-18세,0
2021,52,13-18세,0
2021,53,13-18세,0
2022,1,13-18세,0
2022,2,13-18세,1
2022,3,13-18세,0
2022,4,13-18세,0
2022,5,13-18세,0
2022,6,13-18세,0
2022,7,13-18세,0
2022,8,13-18세,0
2022,9,13-18세,0
2022,10,13-18세,0
2022,11,13-18세,0
2022,12,13-18세,0
2022,13,13-18세,0
2022,14,13-18세,0
2022,15,13-18세,0
2022,16,13-18세,0
2022,17,13-18세,0
2022,18,13-18세,0
2022,19,13-18세,0
2022,20,13-18세,0
2022,21,13-18세,0
2022,22,13-18세,0
2022,23,13-18세,0
2022,24,13-18세,1
2022,25,13-18세,0
2022,26,13-18세,0
2022,27,13-18세,0
2022,28,13-18세,0
2022,29,13-18세,4
2022,30,13-18세,2
2022,31,13-18세,4
2022,32,13-18세,1
2022,33,13-18세,1
2022,34,13-18세,2
2022,35,13-18세,1
2021,36,7-12세,0
2021,37,7-12세,0
2021,38,7-12세,0
2021,39,7-12세,0
2021,40,7-12세,0
2021,41,7-12세,5
2021,42,7-12세,0
2021,43,7-12세,1
2021,44,7-12세,1
2021,45,7-12세,0
2021,46,7-12세,0
2021,47,7-12세,1
2021,48,7-12세,1
2021,49,7-12세,0
2021,50,7-12세,0
2021,51,7-12세,0
2021,52,7-12세,0
2021,53,7-12세,0
2022,1,7-12세,0
2022,2,7-12세,0
2022,3,7-12세,1
2022,4,7-12세,0
2022,5,7-12세,0
2022,6,7-12세,0
2022,7,7-12세,0
2022,8,7-12세,0
2022,9,7-12세,0
2022,10,7-12세,0
2022,11,7-12세,0
2022,12,7-12세,0
