연도,주차,연령대,인플루엔자 검출률
2020,36,65세이상,0
2020,37,65세이상,0
2020,38,65세이상,0
2020,39,65세이상,0
2020,40,65세이상,0
2020,41,65세이상,0
2020,42,65세이상,0
2020,43,65세이상,0
2020,44,65세이상,0
2020,45,65세이상,0
2020,46,65세이상,0
2020,47,65세이상,0
2020,48,65세이상,0
2020,49,65세이상,0
2020,50,65세이상,0
2020,51,65세이상,0
2020,52,65세이상,0
2020,53,65세이상,0
2021,1,65세이상,0
2021,2,65세이상,0
2021,3,65세이상,0
2021,4,65세이상,0
2021,5,65세이상,0
2021,6,65세이상,0
2021,7,65세이상,0
2021,8,65세이상,0
2021,9,65세이상,0
2021,10,65세이상,0
2021,11,65세이상,0
2021,12,65세이상,0
2021,13,65세이상,0
2021,14,65세이상,0
2021,15,65세이상,0
2021,16,65세이상,0
2021,17,65세이상,0
2021,18,65세이상,0
2021,19,65세이상,0
2021,20,65세이상,0
2021,21,65세이상,0
2021,22,65세이상,0
2021,23,65세이상,0
2021,24,65세이상,0
2021,25,65세이상,0
2021,26,65세이상,0
2021,27,65세이상,0
2021,28,65세이상,0
2021,29,65세이상,0
2021,30,65세이상,0
2021,31,65세이상,0
2021,32,65세이상,0
2021,33,65세이상,0
2021,34,65세이상,0
2021,35,65세이상,0
2020,36,50-64세,0
2020,37,50-64세,0
2020,38,50-64세,0
2020,39,50-64세,0
2020,40,50-64세,0
2020,41,50-64세,0
2020,42,50-64세,0
2020,43,50-64세,0
2020,44,50-64세,0
2020,45,50-64세,0
2020,46,50-64세,0
2020,47,50-64세,0
2020,48,50-64세,0
2020,49,50-64세,0
2020,50,50-64세,0
2020,51,50-64세,0
2020,52,50-64세,0
2020,53,50-64세,0
2021,1,50-64세,0
2021,2,50-64세,0
2021,3,50-64세,0
2021,4,50-64세,0
2021,5,50-64세,0
2021,6,50-64세,0
2021,7,50-64세,0
2021,8,50-64세,0
2021,9,50-64세,0
2021,10,50-64세,0
2021,11,50-64세,0
2021,12,50-64세,0
2021,13,50-64세,0
2021,14,50-64세,0
2021,15,50-64세,0
2021,16,50-64세,0
2021,17,50-64세,0
2021,18,50-64세,0
2021,19,50-64세,0
2021,20,50-64세,0
2021,21,50-64세,0
2021,22,50-64세,0
2021,23,50-64세,0
2021,24,50-64세,0
2021,25,50-64세,0
2021,26,50-64세,0
2021,27,50-64세,0
2021,28,50-64세,0
2021,29,50-64세,0
2021,30,50-64세,0
2021,32,50-64세,0
2021,33,50-64세,0
2021,34,50-64세,0
2021,35,50-64세,0
2020,36,19-49세,0
2020,37,19-49세,0
2020,38,19-49세,0
2020,39,19-49세,0
2020,40,19-49세,0
2020,41,19-49세,0
2020,42,19-49세,0
2020,43,19-49세,0
2020,44,19-49세,0
2020,45,19-49세,0
2020,46,19-49세,0
2020,47,19-49세,0
2020,48,19-49세,0
2020,49,19-49세,0
2020,50,19-49세,0
2020,51,19-49세,0
2020,52,19-49세,0
2020,53,19-49세,0
2021,1,19-49세,0
2021,2,19-49세,0
2021,3,19-49세,0
2021,4,19-49세,0
2021,5,19-49세,0
2021,6,19-49세,0
2021,7,19-49세,0
2021,8,19-49세,0
2021,9,19-49세,0
2021,10,19-49세,0
2021,11,19-49세,0
2021,12,19-49세,0
2021,13,19-49세,0
2021,14,19-49세,0
2021,15,19-49세,0
2021,16,19-49세,0
2021,17,19-49세,0
2021,18,19-49세,0
2021,19,19-49세,0
2021,20,19-49세,0
2021,21,19-49세,0
2021,22,19-49세,0
2021,23,19-49세,0
2021,24,19-49세,0
2021,25,19-49세,0
